"No.","Time","Source","Source Port","Source Port","Destination","Destination Port","Destination Port","Protocol","Length","Flags","Sequence Number","Acknowledgment Number","Window","Type","Time to Live","Total Length","Code","Length","Info"
"70","5.930393","10.40.219.42","","56433","10.40.201.225","","49195","UDP","60","","","","","","58","28","","8","56433  >  49195 Len=0"
"71","5.983732","10.40.219.42","","56434","10.40.201.225","","42056","UDP","60","","","","","","52","28","","8","56434  >  42056 Len=0"
"72","6.037818","10.40.219.42","","56434","10.40.201.225","","49195","UDP","60","","","","","","58","28","","8","56434  >  49195 Len=0"
"73","6.092835","10.40.219.42","","56435","10.40.201.225","","42056","UDP","60","","","","","","48","28","","8","56435  >  42056 Len=0"
"74","6.092851","10.40.201.225","","56435","10.40.219.42","","42056","ICMP","70","","","","","3","64,48","56,28","3","8","Destination unreachable (Port unreachable)"
"75","6.202251","10.40.219.42","","56435","10.40.201.225","","49195","UDP","60","","","","","","54","28","","8","56435  >  49195 Len=0"
"76","7.314612","10.40.219.42","","56436","10.40.201.225","","49195","UDP","60","","","","","","47","28","","8","56436  >  49195 Len=0"
"77","7.314629","10.40.201.225","","56436","10.40.219.42","","49195","ICMP","70","","","","","3","64,47","56,28","3","8","Destination unreachable (Port unreachable)"
"78","7.517644","10.40.219.42","","56436","10.40.201.225","","51717","UDP","60","","","","","","52","28","","8","56436  >  51717 Len=0"
"79","8.733136","10.40.219.42","","56437","10.40.201.225","","51717","UDP","60","","","","","","49","28","","8","56437  >  51717 Len=0"
"80","8.733153","10.40.201.225","","56437","10.40.219.42","","51717","ICMP","70","","","","","3","64,49","56,28","3","8","Destination unreachable (Port unreachable)"
"81","9.134870","10.40.219.42","","56432","10.40.201.225","","24594","UDP","60","","","","","","36","28","","8","56432  >  24594 Len=0"
"82","9.134887","10.40.201.225","","56432","10.40.219.42","","24594","ICMP","70","","","","","3","64,36","56,28","3","8","Destination unreachable (Port unreachable)"
"83","9.539048","10.40.219.42","","56432","10.40.201.225","","959","UDP","60","","","","","","40","28","","8","56432  >  959 Len=0"
"84","9.938622","10.40.219.42","","56433","10.40.201.225","","959","UDP","60","","","","","","41","28","","8","56433  >  959 Len=0"
"85","10.341360","10.40.219.42","","56434","10.40.201.225","","959","UDP","60","","","","","","38","28","","8","56434  >  959 Len=0"
"86","10.341377","10.40.201.225","","56434","10.40.219.42","","959","ICMP","70","","","","","3","64,38","56,28","3","8","Destination unreachable (Port unreachable)"
"87","10.742330","10.40.219.42","","56432","10.40.201.225","","20120","UDP","60","","","","","","54","28","","8","56432  >  20120 Len=0"
"88","11.146377","10.40.219.42","","56433","10.40.201.225","","20120","UDP","60","","","","","","38","28","","8","56433  >  20120 Len=0"
"89","11.146394","10.40.201.225","","56433","10.40.219.42","","20120","ICMP","70","","","","","3","64,38","56,28","3","8","Destination unreachable (Port unreachable)"
"90","11.551222","10.40.219.42","","56432","10.40.201.225","","49213","UDP","60","","","","","","43","28","","8","56432  >  49213 Len=0"
"91","11.957320","10.40.219.42","","56433","10.40.201.225","","49213","UDP","60","","","","","","38","28","","8","56433  >  49213 Len=0"
"92","12.359021","10.40.219.42","","56434","10.40.201.225","","49213","UDP","60","","","","","","54","28","","8","56434  >  49213 Len=0"
"93","12.359038","10.40.201.225","","56434","10.40.219.42","","49213","ICMP","70","","","","","3","64,54","56,28","3","8","Destination unreachable (Port unreachable)"
"94","12.769449","10.40.219.42","","56432","10.40.201.225","","1042","UDP","60","","","","","","44","28","","8","56432  >  1042 Len=0"
"95","13.176378","10.40.219.42","","56433","10.40.201.225","","1042","UDP","60","","","","","","43","28","","8","56433  >  1042 Len=0"
"96","13.176395","10.40.201.225","","56433","10.40.219.42","","1042","ICMP","70","","","","","3","64,43","56,28","3","8","Destination unreachable (Port unreachable)"
"97","13.575574","10.40.219.42","","56432","10.40.201.225","","17101","UDP","60","","","","","","54","28","","8","56432  >  17101 Len=0"
"98","13.980887","10.40.219.42","","56433","10.40.201.225","","17101","UDP","60","","","","","","50","28","","8","56433  >  17101 Len=0"
"99","14.390962","10.40.219.42","","56434","10.40.201.225","","17101","UDP","60","","","","","","38","28","","8","56434  >  17101 Len=0"
"100","14.390978","10.40.201.225","","56434","10.40.219.42","","17101","ICMP","70","","","","","3","64,38","56,28","3","8","Destination unreachable (Port unreachable)"
"101","14.798052","10.40.219.42","","56432","10.40.201.225","","30697","UDP","60","","","","","","58","28","","8","56432  >  30697 Len=0"
"102","15.207131","10.40.219.42","","56433","10.40.201.225","","30697","UDP","60","","","","","","49","28","","8","56433  >  30697 Len=0"
"103","15.207147","10.40.201.225","","56433","10.40.219.42","","30697","ICMP","70","","","","","3","64,49","56,28","3","8","Destination unreachable (Port unreachable)"
"104","15.615119","10.40.219.42","","56432","10.40.201.225","","158","UDP","60","","","","","","51","28","","8","56432  >  158 Len=0"
"105","16.020989","10.40.219.42","","56433","10.40.201.225","","158","UDP","60","","","","","","42","28","","8","56433  >  158 Len=0"
"106","16.428630","10.40.219.42","","56434","10.40.201.225","","158","UDP","60","","","","","","58","28","","8","56434  >  158 Len=0"
"107","16.428646","10.40.201.225","","56434","10.40.219.42","","158","ICMP","70","","","","","3","64,58","56,28","3","8","Destination unreachable (Port unreachable)"
"108","16.838631","10.40.219.42","","56430","10.40.201.225","","49167","UDP","60","","","","","","41","28","","8","56430  >  49167 Len=0"
"109","17.245808","10.40.219.42","","56431","10.40.201.225","","49167","UDP","60","","","","","","47","28","","8","56431  >  49167 Len=0"
"110","17.245825","10.40.201.225","","56431","10.40.219.42","","49167","ICMP","70","","","","","3","64,47","56,28","3","8","Destination unreachable (Port unreachable)"
"111","17.655771","10.40.219.42","","56430","10.40.201.225","","17459","UDP","60","","","","","","54","28","","8","56430  >  17459 Len=0"
"112","18.066216","10.40.219.42","","56431","10.40.201.225","","17459","UDP","60","","","","","","58","28","","8","56431  >  17459 Len=0"
"113","18.475854","10.40.219.42","","56432","10.40.201.225","","17459","UDP","60","","","","","","55","28","","8","56432  >  17459 Len=0"
"114","18.475872","10.40.201.225","","56432","10.40.219.42","","17459","ICMP","70","","","","","3","64,55","56,28","3","8","Destination unreachable (Port unreachable)"
"115","18.877053","10.40.219.42","","56430","10.40.201.225","","27473","UDP","60","","","","","","52","28","","8","56430  >  27473 Len=0"
"116","19.285454","10.40.219.42","","56431","10.40.201.225","","27473","UDP","60","","","","","","40","28","","8","56431  >  27473 Len=0"
"117","19.285470","10.40.201.225","","56431","10.40.219.42","","27473","ICMP","70","","","","","3","64,40","56,28","3","8","Destination unreachable (Port unreachable)"
"118","19.687852","10.40.219.42","","56430","10.40.201.225","","49222","UDP","60","","","","","","52","28","","8","56430  >  49222 Len=0"
"119","20.095246","10.40.219.42","","56431","10.40.201.225","","49222","UDP","60","","","","","","37","28","","8","56431  >  49222 Len=0"
"120","20.095263","10.40.201.225","","56431","10.40.219.42","","49222","ICMP","70","","","","","3","64,37","56,28","3","8","Destination unreachable (Port unreachable)"
"121","20.902373","10.40.219.42","","56430","10.40.201.225","","48189","UDP","60","","","","","","45","28","","8","56430  >  48189 Len=0"
"122","21.709629","10.40.219.42","","56441","10.40.201.225","","1024","UDP","60","","","","","","51","28","","8","56441  >  1024 Len=0"
"123","21.709646","10.40.201.225","","56441","10.40.219.42","","1024","ICMP","70","","","","","3","64,51","56,28","3","8","Destination unreachable (Port unreachable)"
"124","22.514384","10.40.219.42","","56431","10.40.201.225","","48189","UDP","60","","","","","","52","28","","8","56431  >  48189 Len=0"
"125","22.514400","10.40.201.225","","56431","10.40.219.42","","48189","ICMP","70","","","","","3","64,52","56,28","3","8","Destination unreachable (Port unreachable)"
"126","23.318849","10.40.219.42","","56430","10.40.201.225","","21663","UDP","60","","","","","","58","28","","8","56430  >  21663 Len=0"
"127","23.318865","10.40.201.225","","56430","10.40.219.42","","21663","ICMP","70","","","","","3","64,58","56,28","3","8","Destination unreachable (Port unreachable)"
"128","24.124772","10.40.219.42","","56430","10.40.201.225","","774","UDP","60","","","","","","57","28","","8","56430  >  774 Len=0"
"129","24.124789","10.40.201.225","","56430","10.40.219.42","","774","ICMP","70","","","","","3","64,57","56,28","3","8","Destination unreachable (Port unreachable)"
"130","24.934743","10.40.219.42","","56430","10.40.201.225","","46836","UDP","60","","","","","","55","28","","8","56430  >  46836 Len=0"
"131","25.740137","10.40.219.42","","56431","10.40.201.225","","46836","UDP","60","","","","","","45","28","","8","56431  >  46836 Len=0"
"132","25.740154","10.40.201.225","","56431","10.40.219.42","","46836","ICMP","70","","","","","3","64,45","56,28","3","8","Destination unreachable (Port unreachable)"
"133","26.541364","10.40.219.42","","56430","10.40.201.225","","32770","UDP","60","","","","","","38","28","","8","56430  >  32770 Len=0"
"134","26.541380","10.40.201.225","","56430","10.40.219.42","","32770","ICMP","70","","","","","3","64,38","56,28","3","8","Destination unreachable (Port unreachable)"
"135","27.343111","10.40.219.42","","56430","10.40.201.225","","19161","UDP","60","","","","","","57","28","","8","56430  >  19161 Len=0"
"136","27.343127","10.40.201.225","","56430","10.40.219.42","","19161","ICMP","70","","","","","3","64,57","56,28","3","8","Destination unreachable (Port unreachable)"
"137","28.149529","10.40.219.42","","56430","10.40.201.225","","18832","UDP","60","","","","","","50","28","","8","56430  >  18832 Len=0"
"138","28.149545","10.40.201.225","","56430","10.40.219.42","","18832","ICMP","70","","","","","3","64,50","56,28","3","8","Destination unreachable (Port unreachable)"
"139","28.952110","10.40.219.42","","56430","10.40.201.225","","30365","UDP","60","","","","","","56","28","","8","56430  >  30365 Len=0"
"140","29.763299","10.40.219.42","","56431","10.40.201.225","","30365","UDP","60","","","","","","42","28","","8","56431  >  30365 Len=0"
"141","29.763315","10.40.201.225","","56431","10.40.219.42","","30365","ICMP","70","","","","","3","64,42","56,28","3","8","Destination unreachable (Port unreachable)"
