"No.","Time","Source","Source Port","Source Port","Destination","Destination Port","Destination Port","Protocol","Length","Flags","Sequence Number","Acknowledgment Number","Window","Type","Time to Live","Total Length","Code","Length","Info"
"112","0.116772","207.204.115.108","","1972","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1972  >  80 Len=1400"
"113","0.117822","221.108.194.98","","1973","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1973  >  80 Len=1400"
"114","0.118882","42.139.115.245","","1974","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1974  >  80 Len=1400"
"115","0.119937","52.25.216.227","","1975","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1975  >  80 Len=1400"
"116","0.120988","83.94.28.129","","1976","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1976  >  80 Len=1400"
"117","0.122038","236.181.119.27","","1977","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1977  >  80 Len=1400"
"118","0.123088","138.221.121.231","","1978","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1978  >  80 Len=1400"
"119","0.124140","141.206.83.180","","1979","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1979  >  80 Len=1400"
"120","0.125189","153.166.172.46","","1980","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1980  >  80 Len=1400"
"121","0.126239","12.26.27.155","","1981","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1981  >  80 Len=1400"
"122","0.127290","216.31.172.209","","1982","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1982  >  80 Len=1400"
"123","0.128339","1.206.82.230","","1983","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1983  >  80 Len=1400"
"124","0.129390","0.32.224.171","","1984","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1984  >  80 Len=1400"
"125","0.130442","113.215.96.239","","1985","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1985  >  80 Len=1400"
"126","0.131492","216.203.156.75","","1986","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1986  >  80 Len=1400"
"127","0.132546","197.126.79.131","","1987","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1987  >  80 Len=1400"
"128","0.133597","25.26.75.149","","1988","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1988  >  80 Len=1400"
"129","0.134648","57.241.25.231","","1989","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1989  >  80 Len=1400"
"130","0.135699","0.83.129.223","","1990","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1990  >  80 Len=1400"
"131","0.136749","248.45.56.155","","1991","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1991  >  80 Len=1400"
"132","0.137799","145.155.25.200","","1992","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1992  >  80 Len=1400"
"133","0.138867","33.49.141.229","","1993","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1993  >  80 Len=1400"
"134","0.139919","239.172.139.167","","1994","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1994  >  80 Len=1400"
"135","0.140971","66.21.96.202","","1995","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1995  >  80 Len=1400"
"136","0.142022","149.22.22.183","","1996","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1996  >  80 Len=1400"
"137","0.143072","96.183.76.199","","1997","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1997  >  80 Len=1400"
"138","0.144123","87.163.185.27","","1998","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1998  >  80 Len=1400"
"139","0.145177","85.57.227.18","","1999","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1999  >  80 Len=1400"
"140","0.146228","27.131.134.153","","2000","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","2000  >  80 Len=1400"
"141","0.147279","241.200.9.146","","2001","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","2001  >  80 Len=1400"
"142","0.148331","252.187.170.221","","2002","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","2002  >  80 Len=1400"
"143","0.149381","1.113.97.6","","2003","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","2003  >  80 Len=1400"
"144","0.150430","6.6.10.236","","2004","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","2004  >  80 Len=1400"
"145","0.151483","10.171.109.245","","2005","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","2005  >  80 Len=1400"
"146","0.152532","165.143.117.75","","2006","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","2006  >  80 Len=1400"
"147","0.153584","143.204.207.121","","2007","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","2007  >  80 Len=1400"
"148","0.154634","22.156.179.231","","2008","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","2008  >  80 Len=1400"
"149","0.155684","227.79.161.153","","2009","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","2009  >  80 Len=1400"
"150","0.156734","83.108.80.150","","2010","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","2010  >  80 Len=1400"
"151","0.157788","168.213.223.208","","2011","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","2011  >  80 Len=1400"
"152","0.158839","16.139.171.86","","2012","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","2012  >  80 Len=1400"
"153","0.159904","98.79.186.27","","2013","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","2013  >  80 Len=1400"
"154","0.160956","126.54.97.115","","2014","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","2014  >  80 Len=1400"
"155","0.162007","238.27.228.32","","2015","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","2015  >  80 Len=1400"
"156","0.163058","216.57.57.229","","2016","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","2016  >  80 Len=1400"
"157","0.164107","208.52.100.6","","2017","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","2017  >  80 Len=1400"
"158","0.165158","198.28.186.139","","2018","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","2018  >  80 Len=1400"
"159","0.166209","158.211.179.77","","2019","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","2019  >  80 Len=1400"
"160","0.167260","239.75.186.32","","2020","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","2020  >  80 Len=1400"
"161","0.168311","100.165.139.238","","2021","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","2021  >  80 Len=1400"
"162","0.169362","83.80.139.66","","2022","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","2022  >  80 Len=1400"
"163","0.170418","126.15.238.63","","2023","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","2023  >  80 Len=1400"
"164","0.171469","12.109.117.149","","2024","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","2024  >  80 Len=1400"
"165","0.172519","221.210.245.158","","2025","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","2025  >  80 Len=1400"
"166","0.173569","162.168.168.21","","2026","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","2026  >  80 Len=1400"
"167","0.174620","56.83.157.236","","2027","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","2027  >  80 Len=1400"
"168","0.175670","31.139.229.94","","2028","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","2028  >  80 Len=1400"
"169","0.176721","46.96.31.161","","2029","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","2029  >  80 Len=1400"
"170","0.177772","20.186.204.161","","2030","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","2030  >  80 Len=1400"
