"No.","Time","Source","Source Port","Source Port","Destination","Destination Port","Destination Port","Protocol","Length","Flags","Sequence Number","Acknowledgment Number","Window","Type","Time to Live","Total Length","Code","Length","Info"
"61","1.635556","10.40.219.42","42582","","10.40.201.225","23","","TCP","54","0x001","1","0","1024","","51","40","","","42582  >  23 [FIN] Seq=1 Win=1024 Len=0"
"62","1.635556","10.40.219.42","42582","","10.40.201.225","135","","TCP","54","0x001","1","0","1024","","37","40","","","42582  >  135 [FIN] Seq=1 Win=1024 Len=0"
"63","1.635556","10.40.219.42","42582","","10.40.201.225","8080","","TCP","54","0x001","1","0","1024","","50","40","","","42582  >  8080 [FIN] Seq=1 Win=1024 Len=0"
"64","1.635557","10.40.219.42","42582","","10.40.201.225","25","","TCP","54","0x001","1","0","1024","","54","40","","","42582  >  25 [FIN] Seq=1 Win=1024 Len=0"
"65","1.635557","10.40.219.42","42582","","10.40.201.225","3306","","TCP","54","0x001","1","0","1024","","39","40","","","42582  >  3306 [FIN] Seq=1 Win=1024 Len=0"
"66","1.635557","10.40.219.42","42582","","10.40.201.225","554","","TCP","54","0x001","1","0","1024","","38","40","","","42582  >  554 [FIN] Seq=1 Win=1024 Len=0"
"67","1.635558","10.40.219.42","42582","","10.40.201.225","53","","TCP","54","0x001","1","0","1024","","54","40","","","42582  >  53 [FIN] Seq=1 Win=1024 Len=0"
"68","1.746083","10.40.219.42","42581","","10.40.201.225","1117","","TCP","54","0x001","1","0","1024","","49","40","","","42581  >  1117 [FIN] Seq=1 Win=1024 Len=0"
"69","1.746084","10.40.219.42","42581","","10.40.201.225","6006","","TCP","54","0x001","1","0","1024","","50","40","","","42581  >  6006 [FIN] Seq=1 Win=1024 Len=0"
"70","1.746084","10.40.219.42","42581","","10.40.201.225","1113","","TCP","54","0x001","1","0","1024","","42","40","","","42581  >  1113 [FIN] Seq=1 Win=1024 Len=0"
"71","1.746159","10.40.219.42","42581","","10.40.201.225","722","","TCP","54","0x001","1","0","1024","","38","40","","","42581  >  722 [FIN] Seq=1 Win=1024 Len=0"
"72","1.746159","10.40.219.42","42581","","10.40.201.225","8001","","TCP","54","0x001","1","0","1024","","38","40","","","42581  >  8001 [FIN] Seq=1 Win=1024 Len=0"
"73","1.746159","10.40.219.42","42581","","10.40.201.225","873","","TCP","54","0x001","1","0","1024","","43","40","","","42581  >  873 [FIN] Seq=1 Win=1024 Len=0"
"74","1.746160","10.40.219.42","42581","","10.40.201.225","6580","","TCP","54","0x001","1","0","1024","","57","40","","","42581  >  6580 [FIN] Seq=1 Win=1024 Len=0"
"75","1.746161","10.40.219.42","42581","","10.40.201.225","5904","","TCP","54","0x001","1","0","1024","","48","40","","","42581  >  5904 [FIN] Seq=1 Win=1024 Len=0"
"76","1.746161","10.40.219.42","42581","","10.40.201.225","1056","","TCP","54","0x001","1","0","1024","","45","40","","","42581  >  1056 [FIN] Seq=1 Win=1024 Len=0"
"77","1.746161","10.40.219.42","42581","","10.40.201.225","50006","","TCP","54","0x001","1","0","1024","","53","40","","","42581  >  50006 [FIN] Seq=1 Win=1024 Len=0"
"78","1.856420","10.40.219.42","42582","","10.40.201.225","50006","","TCP","54","0x001","1","0","1024","","55","40","","","42582  >  50006 [FIN] Seq=1 Win=1024 Len=0"
"79","1.856491","10.40.219.42","42582","","10.40.201.225","1056","","TCP","54","0x001","1","0","1024","","46","40","","","42582  >  1056 [FIN] Seq=1 Win=1024 Len=0"
"80","1.856491","10.40.219.42","42582","","10.40.201.225","5904","","TCP","54","0x001","1","0","1024","","40","40","","","42582  >  5904 [FIN] Seq=1 Win=1024 Len=0"
"81","1.856506","10.40.219.42","42582","","10.40.201.225","6580","","TCP","54","0x001","1","0","1024","","59","40","","","42582  >  6580 [FIN] Seq=1 Win=1024 Len=0"
"82","1.856555","10.40.219.42","42582","","10.40.201.225","873","","TCP","54","0x001","1","0","1024","","46","40","","","42582  >  873 [FIN] Seq=1 Win=1024 Len=0"
"83","1.856556","10.40.219.42","42582","","10.40.201.225","8001","","TCP","54","0x001","1","0","1024","","45","40","","","42582  >  8001 [FIN] Seq=1 Win=1024 Len=0"
"84","1.856567","10.40.219.42","42582","","10.40.201.225","722","","TCP","54","0x001","1","0","1024","","37","40","","","42582  >  722 [FIN] Seq=1 Win=1024 Len=0"
"85","1.856664","10.40.219.42","42582","","10.40.201.225","1113","","TCP","54","0x001","1","0","1024","","54","40","","","42582  >  1113 [FIN] Seq=1 Win=1024 Len=0"
"86","1.856721","10.40.219.42","42582","","10.40.201.225","6006","","TCP","54","0x001","1","0","1024","","40","40","","","42582  >  6006 [FIN] Seq=1 Win=1024 Len=0"
"87","1.856934","10.40.219.42","42582","","10.40.201.225","1117","","TCP","54","0x001","1","0","1024","","50","40","","","42582  >  1117 [FIN] Seq=1 Win=1024 Len=0"
"88","1.964999","10.40.219.42","42581","","10.40.201.225","9290","","TCP","54","0x001","1","0","1024","","46","40","","","42581  >  9290 [FIN] Seq=1 Win=1024 Len=0"
"89","1.964999","10.40.219.42","42581","","10.40.201.225","2383","","TCP","54","0x001","1","0","1024","","50","40","","","42581  >  2383 [FIN] Seq=1 Win=1024 Len=0"
"90","1.965000","10.40.219.42","42581","","10.40.201.225","6004","","TCP","54","0x001","1","0","1024","","42","40","","","42581  >  6004 [FIN] Seq=1 Win=1024 Len=0"
"91","1.965075","10.40.219.42","42581","","10.40.201.225","4848","","TCP","54","0x001","1","0","1024","","48","40","","","42581  >  4848 [FIN] Seq=1 Win=1024 Len=0"
"92","1.965075","10.40.219.42","42581","","10.40.201.225","4001","","TCP","54","0x001","1","0","1024","","43","40","","","42581  >  4001 [FIN] Seq=1 Win=1024 Len=0"
"93","1.965075","10.40.219.42","42581","","10.40.201.225","5550","","TCP","54","0x001","1","0","1024","","55","40","","","42581  >  5550 [FIN] Seq=1 Win=1024 Len=0"
"94","1.965075","10.40.219.42","42581","","10.40.201.225","12174","","TCP","54","0x001","1","0","1024","","59","40","","","42581  >  12174 [FIN] Seq=1 Win=1024 Len=0"
"95","1.965076","10.40.219.42","42581","","10.40.201.225","7920","","TCP","54","0x001","1","0","1024","","40","40","","","42581  >  7920 [FIN] Seq=1 Win=1024 Len=0"
"96","1.965076","10.40.219.42","42581","","10.40.201.225","1097","","TCP","54","0x001","1","0","1024","","40","40","","","42581  >  1097 [FIN] Seq=1 Win=1024 Len=0"
"97","1.965076","10.40.219.42","42581","","10.40.201.225","55056","","TCP","54","0x001","1","0","1024","","44","40","","","42581  >  55056 [FIN] Seq=1 Win=1024 Len=0"
"98","2.074400","10.40.219.42","42582","","10.40.201.225","55056","","TCP","54","0x001","1","0","1024","","53","40","","","42582  >  55056 [FIN] Seq=1 Win=1024 Len=0"
"99","2.074401","10.40.219.42","42582","","10.40.201.225","1097","","TCP","54","0x001","1","0","1024","","39","40","","","42582  >  1097 [FIN] Seq=1 Win=1024 Len=0"
"100","2.074488","10.40.219.42","42582","","10.40.201.225","7920","","TCP","54","0x001","1","0","1024","","37","40","","","42582  >  7920 [FIN] Seq=1 Win=1024 Len=0"
"101","2.074488","10.40.219.42","42582","","10.40.201.225","12174","","TCP","54","0x001","1","0","1024","","42","40","","","42582  >  12174 [FIN] Seq=1 Win=1024 Len=0"
"102","2.074488","10.40.219.42","42582","","10.40.201.225","5550","","TCP","54","0x001","1","0","1024","","58","40","","","42582  >  5550 [FIN] Seq=1 Win=1024 Len=0"
"103","2.074489","10.40.219.42","42582","","10.40.201.225","4001","","TCP","54","0x001","1","0","1024","","38","40","","","42582  >  4001 [FIN] Seq=1 Win=1024 Len=0"
"104","2.074489","10.40.219.42","42582","","10.40.201.225","4848","","TCP","54","0x001","1","0","1024","","39","40","","","42582  >  4848 [FIN] Seq=1 Win=1024 Len=0"
"105","2.074490","10.40.219.42","42582","","10.40.201.225","6004","","TCP","54","0x001","1","0","1024","","41","40","","","42582  >  6004 [FIN] Seq=1 Win=1024 Len=0"
"106","2.074490","10.40.219.42","42582","","10.40.201.225","2383","","TCP","54","0x001","1","0","1024","","47","40","","","42582  >  2383 [FIN] Seq=1 Win=1024 Len=0"
